,reactionId,compartment,r ; p,ratelaw
0,vbR,Cytoplasm,; cyt_abs__ribosome_,kbR_1+(kbR_2*((cyt_prot__pT412_KS6B1_^kbR_3)/((kbR_4^kbR_3)+(cyt_prot__pT412_KS6B1_^kbR_3))))
1,vdR,Cytoplasm,cyt_abs__ribosome_ ;,kdR_1*cyt_abs__ribosome_
2,vTL1,Nucleus,; nuc_prot_i__P53_,kTL1_1*cyt_mrna__TP53_201_*(cyt_prot__IF4E_/(kTL1_2+cyt_prot__IF4E_))
3,vTL2,Nucleus,; nuc_prot__MDM2_,(kTL2_1+kTL2_2*nuc_abs__MDM2delay10_)*cyt_mrna__MDM2_202_*(cyt_prot__IF4E_/(kTL2_3+cyt_prot__IF4E_))
4,vTL3,Nucleus,; nuc_prot__PPM1D_,kTL3_1*nuc_abs__WIP1delay10_*cyt_mrna__PPM1D_201_*(cyt_prot__IF4E_/(kTL3_2+cyt_prot__IF4E_))
5,vTL4,Cytoplasm,; nuc_prot_i__ATM_,kTL4_1*cyt_mrna__ATM_229_*(cyt_prot__IF4E_/(kTL4_2+cyt_prot__IF4E_))
6,vTL5,Cytoplasm,; nuc_prot_i__ATR_,kTL5_1*cyt_mrna__ATR_201_*(cyt_prot__IF4E_/(kTL5_2+cyt_prot__IF4E_))
7,vTL6,Nucleus,; nuc_prot__RB_,kTL6_1*cyt_mrna__RB1_201_
8,vTL7,Nucleus,; nuc_cong__E2F_,kTL7_1*cyt_mrna__E2F1_201_
9,vTL8,Nucleus,; nuc_cong__E2F_,kTL8_1*cyt_mrna__E2F2_201_
10,vTL9,Nucleus,; nuc_cong__E2F_,kTL9_1*cyt_mrna__E2F3_201_
11,vTL10,Nucleus,; nuc_cong__CCND_,(kTL10_1+kTL10_2*nuc_cong__E2F_*(kTL10_3/(kTL10_3+nuc_prot__RB_))*(kTL10_4/(kTL10_4+nuc_prot__pT373_RB_)))*cyt_mrna__CCND1_201_*(cyt_prot__IF4E_/(kTL10_5+cyt_prot__IF4E_))
12,vTL11,Nucleus,; nuc_cong__CCND_,(kTL11_1+kTL11_2*nuc_cong__E2F_*(kTL11_3/(kTL11_3+nuc_prot__RB_))*(kTL11_4/(kTL11_4+nuc_prot__pT373_RB_)))*cyt_mrna__CCND2_201_*(cyt_prot__IF4E_/(kTL11_5+cyt_prot__IF4E_))
13,vTL12,Nucleus,; nuc_cong__CCND_,(kTL12_1+kTL12_2*nuc_cong__E2F_*(kTL12_3/(kTL12_3+nuc_prot__RB_))*(kTL12_4/(kTL12_4+nuc_prot__pT373_RB_)))*cyt_mrna__CCND3_203_*(cyt_prot__IF4E_/(kTL12_5+cyt_prot__IF4E_))
14,vTL13,Nucleus,; nuc_cong__CCNE_,kTL13_1*nuc_cong__E2F_*(kTL13_2/(kTL13_2+nuc_prot__RB_))*(kTL13_3/(kTL13_3+nuc_prot__pT373_RB_))*cyt_mrna__CCNE1_201_
15,vTL14,Nucleus,; nuc_cong__CCNE_,kTL14_1*nuc_cong__E2F_*(kTL14_2/(kTL14_2+nuc_prot__RB_))*(kTL14_3/(kTL14_3+nuc_prot__pT373_RB_))*cyt_mrna__CCNE2_201_
16,vTL15,Nucleus,; nuc_prot__SKP2_,kTL15_1*cyt_mrna__SKP2_202_
17,vTL16,Nucleus,; nuc_cong_i__MPIP1_,kTL16_1*cyt_mrna__CDC25A_201_
18,vTL17,Nucleus,; nuc_cong_i__MPIP2_,kTL17_1*cyt_mrna__CDC25B_201_
19,vTL18,Nucleus,; nuc_cong_i__MPIP3_,kTL18_1*cyt_mrna__CDC25C_201_
20,vTL19,Nucleus,; nuc_prot__CCNA2_,kTL19_1*nuc_cong__E2F_*(kTL19_2/(kTL19_2+nuc_prot__RB_))*(kTL19_3/(kTL19_3+nuc_prot__pT373_RB_))*cyt_mrna__CCNA2_201_
21,vTL20,Nucleus,; nuc_prot__CDN1B_,(kTL20_1+(kTL20_2*nuc_cong__E2F_*(kTL20_3/(kTL20_3+nuc_prot__RB_))*(kTL20_4/(kTL20_4+nuc_prot__pT373_RB_))))*cyt_mrna__CDKN1B_201_
22,vTL21,Nucleus,; nuc_prot_a__CADH1_,kTL21_1*cyt_mrna__CDH1_201_
23,vTL22,Nucleus,; nuc_cong__CCNB_,kTL22_1*cyt_mrna__CCNB1_201_
24,vTL23,Nucleus,; nuc_prot_i__CDC20_,kTL23_1*cyt_mrna__CDC20_201_
25,vTL24,Nucleus,; nuc_prot__WEE1_,kTL24_1*cyt_mrna__WEE1_202_
26,vTL25,Cytoplasm,; nuc_prot__CHK1_,kTL25_1*cyt_mrna__CHEK1_204_
27,vTL26,Cytoplasm,; nuc_prot__CDN1A_,kTL26_1*cyt_mrna__CDKN1A_201_
28,vTL27,Cytoplasm,;,kTL27_1*cyt_mrna__CDK1_203_
29,vTL28,Cytoplasm,;,kTL28_1*cyt_mrna__CDK2_201_
30,vTL29,Cytoplasm,;,kTL29_1*cyt_mrna__CDK4_201_
31,vTL30,Cytoplasm,;,kTL30_1*cyt_mrna__CDK6_202_
32,vTL31,Cytoplasm,; exc_prot__TNF10_,kTL31_1*cyt_mrna__TNFSF10_201_*(cyt_prot__IF4E_/(kTL31_2+cyt_prot__IF4E_))
33,vTL32,Cytoplasm,; cyt_cong__TNFRSF10_,kTL32_1*cyt_mrna__TNFRSF10A_201_*(cyt_prot__IF4E_/(kTL32_2+cyt_prot__IF4E_))
34,vTL33,Cytoplasm,; cyt_cong__TNFRSF10_,kTL33_1*cyt_mrna__TNFRSF10B_201_*(cyt_prot__IF4E_/(kTL33_2+cyt_prot__IF4E_))
35,vTL34,Cytoplasm,; cyt_prot__CFLAR_,kTL34_1*cyt_mrna__CFLAR_201_*(cyt_prot__IF4E_/(kTL34_2+cyt_prot__IF4E_))
36,vTL35,Cytoplasm,; cyt_cong_i__CASP8_,kTL35_1*cyt_mrna__CASP8_218_*(cyt_prot__IF4E_/(kTL35_2+cyt_prot__IF4E_))
37,vTL36,Cytoplasm,; cyt_cong_i__CASP8_,kTL36_1*cyt_mrna__CASP10_202_*(cyt_prot__IF4E_/(kTL36_2+cyt_prot__IF4E_))
38,vTL37,Cytoplasm,; cyt_prot__BFAR_,kTL37_1*cyt_mrna__BFAR_201_*(cyt_prot__IF4E_/(kTL37_2+cyt_prot__IF4E_))
39,vTL38,Cytoplasm,; cyt_cong__CASP3_,kTL38_1*cyt_mrna__CASP3_201_*(cyt_prot__IF4E_/(kTL38_2+cyt_prot__IF4E_))
40,vTL39,Cytoplasm,; cyt_cong__CASP3_,kTL39_1*cyt_mrna__CASP7_203_*(cyt_prot__IF4E_/(kTL39_2+cyt_prot__IF4E_))
41,vTL40,Cytoplasm,; cyt_cong_i__CASP6_,kTL40_1*cyt_mrna__CASP6_201_*(cyt_prot__IF4E_/(kTL40_2+cyt_prot__IF4E_))
42,vTL41,Cytoplasm,; cyt_prot__XIAP_,kTL41_1*cyt_mrna__XIAP_202_*(cyt_prot__IF4E_/(kTL41_2+cyt_prot__IF4E_))
43,vTL42,Cytoplasm,; cyt_prot__PARP1_,kTL42_1*cyt_mrna__PARP1_203_*(cyt_prot__IF4E_/(kTL42_2+cyt_prot__IF4E_))
44,vTL43,Cytoplasm,; cyt_prot__BID_,kTL43_1*cyt_mrna__BID_211_*(cyt_prot__IF4E_/(kTL43_2+cyt_prot__IF4E_))
45,vTL44,Cytoplasm,; cyt_cong__BCL2_,kTL44_1*cyt_mrna__BCL2_201_*(cyt_prot__IF4E_/(kTL44_2+cyt_prot__IF4E_))
46,vTL45,Cytoplasm,; cyt_cong__BCL2_,kTL45_1*cyt_mrna__BCL2L1_201_*(cyt_prot__IF4E_/(kTL45_2+cyt_prot__IF4E_))
47,vTL46,Cytoplasm,; cyt_cong__BCL2_,kTL46_1*cyt_mrna__MCL1_202_*(cyt_prot__IF4E_/(kTL46_2+cyt_prot__IF4E_))
48,vTL47,Cytoplasm,; cyt_prot_i__BAX_,kTL47_1*cyt_mrna__BAX_202_*(cyt_prot__IF4E_/(kTL47_2+cyt_prot__IF4E_))
49,vTL48,Cytoplasm,; mit_prot__CY1_,kTL48_1*cyt_mrna__CYC1_201_*(cyt_prot__IF4E_/(kTL48_2+cyt_prot__IF4E_))
50,vTL49,Cytoplasm,; mit_prot__DBLOH_,kTL49_1*cyt_mrna__DIABLO_206_*(cyt_prot__IF4E_/(kTL49_2+cyt_prot__IF4E_))
51,vTL50,Cytoplasm,; cyt_prot__APAF_,kTL50_1*cyt_mrna__APAF1_210_*(cyt_prot__IF4E_/(kTL50_2+cyt_prot__IF4E_))
52,vTL51,Cytoplasm,; cyt_prot__PCSK9_,kTL51_1*cyt_mrna__CASP9_201_*(cyt_prot__IF4E_/(kTL51_2+cyt_prot__IF4E_))
53,vTL52,Cytoplasm,; cyt_prot__BAD_,kTL52_1*cyt_mrna__BAD_201_*(cyt_prot__IF4E_/(kTL52_2+cyt_prot__IF4E_))
54,vTL53,Cytoplasm,; cyt_prot__BBC3_,kTL53_1*cyt_mrna__BBC3_203_*(cyt_prot__IF4E_/(kTL53_2+cyt_prot__IF4E_))
55,vTL54,Cytoplasm,; cyt_prot__APR_,kTL54_1*cyt_mrna__PMAIP1_202_*(cyt_prot__IF4E_/(kTL54_2+cyt_prot__IF4E_))
56,vTL55,Cytoplasm,; cyt_prot__B2L11_,kTL55_1*cyt_mrna__BCL2L11_204_*(cyt_prot__IF4E_/(kTL55_2+cyt_prot__IF4E_))
57,vTL56,Cytoplasm,; exc_prot__EGF_,kTL56_1*cyt_mrna__EGF_201_*(cyt_prot__IF4E_/(kTL56_2+cyt_prot__IF4E_))
58,vTL57,Cytoplasm,; exc_prot__NRG1_,kTL57_1*cyt_mrna__NRG1_203_*(cyt_prot__IF4E_/(kTL57_2+cyt_prot__IF4E_))
59,vTL58,Cytoplasm,; cyt_prot__EGFR_,kTL58_1*cyt_mrna__EGFR_201_*(cyt_prot__IF4E_/(kTL58_2+cyt_prot__IF4E_))
60,vTL59,Cytoplasm,; cyt_prot__ERBB2_,kTL59_1*cyt_mrna__ERBB2_201_*(cyt_prot__IF4E_/(kTL59_2+cyt_prot__IF4E_))
61,vTL60,Cytoplasm,; cyt_prot__ERBB3_,kTL60_1*cyt_mrna__ERBB3_201_*(cyt_prot__IF4E_/(kTL60_2+cyt_prot__IF4E_))
62,vTL61,Cytoplasm,; cyt_prot__ERBB4_,kTL61_1*cyt_mrna__ERBB4_202_*(cyt_prot__IF4E_/(kTL61_2+cyt_prot__IF4E_))
63,vTL62,Cytoplasm,; cyt_prot__EGFRvIII_,kTL62_1*cyt_mrna__EGFRvIII_*(cyt_prot__IF4E_/(kTL62_2+cyt_prot__IF4E_))
64,vTL63,Cytoplasm,; cyt_prot__MET_,kTL63_1*cyt_mrna__MET_202_*(cyt_prot__IF4E_/(kTL63_2+cyt_prot__IF4E_))
65,vTL64,Cytoplasm,; exc_prot__HGF_,kTL64_1*cyt_mrna__HGF_201_*(cyt_prot__IF4E_/(kTL64_2+cyt_prot__IF4E_))
66,vTL65,Cytoplasm,; cyt_cong__PGFRB_,kTL65_1*cyt_mrna__PDGFRA_201_*(cyt_prot__IF4E_/(kTL65_2+cyt_prot__IF4E_))
67,vTL66,Cytoplasm,; cyt_cong__PGFRB_,kTL66_1*cyt_mrna__PDGFRB_201_*(cyt_prot__IF4E_/(kTL66_2+cyt_prot__IF4E_))
68,vTL67,Cytoplasm,; exc_prot__PDGFB_,kTL67_1*cyt_mrna__PDGFB_201_*(cyt_prot__IF4E_/(kTL67_2+cyt_prot__IF4E_))
69,vTL68,Cytoplasm,; cyt_prot__SPY2_,kTL68_1*cyt_mrna__SPRY2_202_*(cyt_prot__IF4E_/(kTL68_2+cyt_prot__IF4E_))
70,vTL69,Cytoplasm,; cyt_prot__CBL_,kTL69_1*cyt_mrna__CBL_201_*(cyt_prot__IF4E_/(kTL69_2+cyt_prot__IF4E_))
71,vTL70,Cytoplasm,; cyt_prot__GRB2_,kTL70_1*cyt_mrna__GRB2_202_*(cyt_prot__IF4E_/(kTL70_2+cyt_prot__IF4E_))
72,vTL71,Cytoplasm,; cyt_cong__PLCG_,kTL71_1*cyt_mrna__PLCG1_223_*(cyt_prot__IF4E_/(kTL71_2+cyt_prot__IF4E_))
73,vTL72,Cytoplasm,; cyt_cong__PLCG_,kTL72_1*cyt_mrna__PLCG2_208_*(cyt_prot__IF4E_/(kTL72_2+cyt_prot__IF4E_))
74,vTL73,Cytoplasm,; cyt_cong__PIK3C_,kTL73_1*cyt_mrna__PIK3CA_201_*(cyt_prot__IF4E_/(kTL73_2+cyt_prot__IF4E_))
75,vTL74,Cytoplasm,; cyt_cong__PIK3C_,kTL74_1*cyt_mrna__PTPN2_201_*(cyt_prot__IF4E_/(kTL74_2+cyt_prot__IF4E_))
76,vTL75,Cytoplasm,; cyt_cong__PIK3C_,kTL75_1*cyt_mrna__PIK3CG_205_*(cyt_prot__IF4E_/(kTL75_2+cyt_prot__IF4E_))
77,vTL76,Cytoplasm,; cyt_cong__PIK3C_,kTL76_1*cyt_mrna__PIK3CD_202_*(cyt_prot__IF4E_/(kTL76_2+cyt_prot__IF4E_))
78,vTL77,Cytoplasm,; cyt_cong__PIK3R_,kTL77_1*cyt_mrna__PIK3R1_211_*(cyt_prot__IF4E_/(kTL77_2+cyt_prot__IF4E_))
79,vTL78,Cytoplasm,; cyt_cong__PIK3R_,kTL78_1*cyt_mrna__PIK3R2_201_*(cyt_prot__IF4E_/(kTL78_2+cyt_prot__IF4E_))
80,vTL79,Cytoplasm,; cyt_cong__PIK3R_,kTL79_1*cyt_mrna__PIK3R3_201_*(cyt_prot__IF4E_/(kTL79_2+cyt_prot__IF4E_))
81,vTL80,Cytoplasm,; cyt_cong__PIK3R_,kTL80_1*cyt_mrna__PIK3R4_201_*(cyt_prot__IF4E_/(kTL80_2+cyt_prot__IF4E_))
82,vTL81,Cytoplasm,; cyt_prot__P3C2A_,kTL81_1*cyt_mrna__PIK3C2A_206_*(cyt_prot__IF4E_/(kTL81_2+cyt_prot__IF4E_))
83,vTL82,Cytoplasm,; cyt_prot__GRP_,kTL82_1*cyt_mrna__RASGRP1_201_*(cyt_prot__IF4E_/(kTL82_2+cyt_prot__IF4E_))
84,vTL83,Cytoplasm,; cyt_prot__GRP_,kTL83_1*cyt_mrna__RASGRP3_202_*(cyt_prot__IF4E_/(kTL83_2+cyt_prot__IF4E_))
85,vTL84,Cytoplasm,; cyt_mixed__RAS__GDP_,kTL84_1*cyt_mrna__NRAS_201_*(cyt_prot__IF4E_/(kTL84_2+cyt_prot__IF4E_))
86,vTL85,Cytoplasm,; cyt_mixed__RAS__GDP_,kTL85_1*cyt_mrna__KRAS_202_*(cyt_prot__IF4E_/(kTL85_2+cyt_prot__IF4E_))
87,vTL86,Cytoplasm,; cyt_mixed__RAS__GDP_,kTL86_1*cyt_mrna__HRAS_201_*(cyt_prot__IF4E_/(kTL86_2+cyt_prot__IF4E_))
88,vTL87,Cytoplasm,; cyt_prot__NF1_,kTL87_1*cyt_mrna__NF1_202_*(cyt_prot__IF4E_/(kTL87_2+cyt_prot__IF4E_))
89,vTL88,Cytoplasm,; cyt_prot__RAF1_,kTL88_1*cyt_mrna__RAF1_201_*(cyt_prot__IF4E_/(kTL88_2+cyt_prot__IF4E_))
90,vTL89,Cytoplasm,; cyt_prot__BRAF_,kTL89_1*cyt_mrna__BRAF_220_*(cyt_prot__IF4E_/(kTL89_2+cyt_prot__IF4E_))
91,vTL90,Cytoplasm,; cyt_prot__MAP2K_,kTL90_1*cyt_mrna__MAP2K1_201_*(cyt_prot__IF4E_/(kTL90_2+cyt_prot__IF4E_))
92,vTL91,Cytoplasm,; cyt_prot__MAP2K_,kTL91_1*cyt_mrna__MAP2K2_201_*(cyt_prot__IF4E_/(kTL91_2+cyt_prot__IF4E_))
93,vTL92,Cytoplasm,; cyt_prot__DUS6_,kTL92_1*cyt_mrna__DUSP6_201_*(cyt_prot__IF4E_/(kTL92_2+cyt_prot__IF4E_))
94,vTL93,Cytoplasm,; cyt_prot__RPS6KA_,kTL93_1*cyt_mrna__RPS6KA1_204_*(cyt_prot__IF4E_/(kTL93_2+cyt_prot__IF4E_))
95,vTL94,Cytoplasm,; cyt_prot__RPS6KA_,kTL94_1*cyt_mrna__RPS6KA2_201_*(cyt_prot__IF4E_/(kTL94_2+cyt_prot__IF4E_))
96,vTL95,Cytoplasm,; cyt_prot__RPS6KA_,kTL95_1*cyt_mrna__RPS6KA3_201_*(cyt_prot__IF4E_/(kTL95_2+cyt_prot__IF4E_))
97,vTL96,Cytoplasm,; cyt_prot__RPS6KA_,kTL96_1*cyt_mrna__RPS6KA4_201_*(cyt_prot__IF4E_/(kTL96_2+cyt_prot__IF4E_))
98,vTL97,Cytoplasm,; nuc_prot__DUS1_,kTL97_1*cyt_mrna__DUSP1_201_*(cyt_prot__IF4E_/(kTL97_2+cyt_prot__IF4E_))
99,vTL98,Cytoplasm,; nuc_prot__FOS_,kTL98_1*cyt_mrna__FOS_201_*(cyt_prot__IF4E_/(kTL98_2+cyt_prot__IF4E_))
100,vTL99,Cytoplasm,; nuc_prot__JUN_,kTL99_1*cyt_mrna__JUN_201_*(cyt_prot__IF4E_/(kTL99_2+cyt_prot__IF4E_))
101,vTL100,Cytoplasm,; nuc_prot__MYC_,kTL100_1*cyt_mrna__MYC_206_*(cyt_prot__IF4E_/(kTL100_2+cyt_prot__IF4E_))
102,vTL101,Cytoplasm,; cyt_prot__CTNB1_,kTL101_1*cyt_mrna__CTNNB1_201_*(cyt_prot__IF4E_/(kTL101_2+cyt_prot__IF4E_))
103,vTL102,Cytoplasm,; cyt_prot__PTEN_,kTL102_1*cyt_mrna__PTEN_201_*(cyt_prot__IF4E_/(kTL102_2+cyt_prot__IF4E_))
104,vTL103,Cytoplasm,; cyt_cong__AKT_,kTL103_1*cyt_mrna__AKT1_218_*(cyt_prot__IF4E_/(kTL103_2+cyt_prot__IF4E_))
105,vTL104,Cytoplasm,; cyt_cong__AKT_,kTL104_1*cyt_mrna__AKT2_206_*(cyt_prot__IF4E_/(kTL104_2+cyt_prot__IF4E_))
106,vTL105,Cytoplasm,; cyt_prot__PDPK1_,kTL105_1*cyt_mrna__PDPK1_202_*(cyt_prot__IF4E_/(kTL105_2+cyt_prot__IF4E_))
107,vTL106,Cytoplasm,; cyt_prot_RICTR_,kTL106_1*cyt_mrna__RICTOR_202_*(cyt_prot__IF4E_/(kTL106_2+cyt_prot__IF4E_))
108,vTL107,Cytoplasm,; cyt_prot__MTOR_,kTL107_1*cyt_mrna__MTOR_201_*(cyt_prot__IF4E_/(kTL107_2+cyt_prot__IF4E_))
109,vTL108,Cytoplasm,; cyt_prot__GSK3B_,kTL108_1*cyt_mrna__GSK3B_201_*(cyt_prot__IF4E_/(kTL108_2+cyt_prot__IF4E_))
110,vTL109,Cytoplasm,; cyt_prot__TSC1_,kTL109_1*cyt_mrna__TSC1_201_*(cyt_prot__IF4E_/(kTL109_2+cyt_prot__IF4E_))
111,vTL110,Cytoplasm,; cyt_prot__TSC2_,kTL110_1*cyt_mrna__TSC2_201_*(cyt_prot__IF4E_/(kTL110_2+cyt_prot__IF4E_))
112,vTL111,Cytoplasm,; cyt_cong__KPC_,kTL111_1*cyt_mrna__PRKCA_202_*(cyt_prot__IF4E_/(kTL111_2+cyt_prot__IF4E_))
113,vTL112,Cytoplasm,; cyt_cong__KPC_,kTL112_1*cyt_mrna__PRKCB_210_*(cyt_prot__IF4E_/(kTL112_2+cyt_prot__IF4E_))
114,vTL113,Cytoplasm,; cyt_cong__KPC_,kTL113_1*cyt_mrna__PRKCG_201_*(cyt_prot__IF4E_/(kTL113_2+cyt_prot__IF4E_))
115,vTL114,Cytoplasm,; cyt_cong__KPC_,kTL114_1*cyt_mrna__PRKCD_201_*(cyt_prot__IF4E_/(kTL114_2+cyt_prot__IF4E_))
116,vTL115,Cytoplasm,; cyt_prot__PEBP1_,kTL115_1*cyt_mrna__PEBP1_201_*(cyt_prot__IF4E_/(kTL115_2+cyt_prot__IF4E_))
117,vTL116,Cytoplasm,; cyt_cong__MAPK_,kTL116_1*cyt_mrna__MAPK1_201_*(cyt_prot__IF4E_/(kTL116_2+cyt_prot__IF4E_))
118,vTL117,Cytoplasm,; cyt_cong__MAPK_,kTL117_1*cyt_mrna__MAPK3_201_*(cyt_prot__IF4E_/(kTL117_2+cyt_prot__IF4E_))
119,vTL118,Cytoplasm,; cyt_prot__FOXO3_,kTL118_1*cyt_mrna__FOXO3_202_*(cyt_prot__IF4E_/(kTL118_2+cyt_prot__IF4E_))
120,vTL119,Cytoplasm,; cyt_mixed__RHEB__GDP_,kTL119_1*cyt_mrna__RHEB_201_*(cyt_prot__IF4E_/(kTL119_2+cyt_prot__IF4E_))
121,vTL120,Cytoplasm,; cyt_prot__RPTOR_,kTL120_1*cyt_mrna__RPTOR_201_*(cyt_prot__IF4E_/(kTL120_2+cyt_prot__IF4E_))
122,vTL121,Cytoplasm,; cyt_prot__KS6B1_,kTL121_1*cyt_mrna__RPS6KB1_201_*(cyt_prot__IF4E_/(kTL121_2+cyt_prot__IF4E_))
123,vTL122,Cytoplasm,; cyt_prot__KS6B1_,kTL122_1*cyt_mrna__RPS6KB2_201_*(cyt_prot__IF4E_/(kTL122_2+cyt_prot__IF4E_))
124,vTL123,Cytoplasm,; cyt_prot__4EBP1_,kTL123_1*cyt_mrna__EIF4EBP1_201_*(cyt_prot__IF4E_/(kTL123_2+cyt_prot__IF4E_))
125,vTL124,Cytoplasm,; cyt_prot__SOS1_,kTL124_1*cyt_mrna__SOS1_202_*(cyt_prot__IF4E_/(kTL124_2+cyt_prot__IF4E_))
126,vTL125,Cytoplasm,; nuc_prot__ARF_,kTL125_1*cyt_mrna__CDKN2A_214_*(cyt_prot__IF4E_/(kTL125_2+cyt_prot__IF4E_))
127,vTL126,Cytoplasm,; nuc_prot__MDM4_,kTL126_1*cyt_mrna__MDM4_203_*(cyt_prot__IF4E_/(kTL126_2+cyt_prot__IF4E_))
128,vTL127,Cytoplasm,; cyt_cong__FGFR_,kTL127_1*cyt_mrna__FGFR1_214_*(cyt_prot__IF4E_/(kTL127_2+cyt_prot__IF4E_))
129,vTL128,Cytoplasm,; cyt_cong__FGFR_,kTL128_1*cyt_mrna__FGFR2_206_*(cyt_prot__IF4E_/(kTL128_2+cyt_prot__IF4E_))
130,vTL129,Cytoplasm,; exc_cong__FGF_,kTL129_1*cyt_mrna__FGF1_201_*(cyt_prot__IF4E_/(kTL129_2+cyt_prot__IF4E_))
131,vTL130,Cytoplasm,; exc_cong__FGF_,kTL130_1*cyt_mrna__FGF2_203_*(cyt_prot__IF4E_/(kTL130_2+cyt_prot__IF4E_))
