old	new
Ribosome	cyt_abs__ribosome_
p53inac	nuc_prot_i__P53_
p53ac	nuc_prot_a__P53_
MDM2	nuc_prot__MDM2_1_
Wip1	nuc_prot__PPM1D_1_
ATMP	nuc_prot_a__ATM_
ATRac	nuc_prot_a__ATR_1_
MDM2product1	nuc_abs__MDM2delay1_
MDM2product2	nuc_abs__MDM2delay2_
MDM2product3	nuc_abs__MDM2delay3_
MDM2product4	nuc_abs__MDM2delay4_
MDM2product5	nuc_abs__MDM2delay5_
MDM2product6	nuc_abs__MDM2delay6_
MDM2product7	nuc_abs__MDM2delay7_
MDM2product8	nuc_abs__MDM2delay8_
MDM2product9	nuc_abs__MDM2delay9_
MDM2pro	nuc_abs__MDM2delay10_
Wip1product1	nuc_abs__WIP1delay1_
Wip1product2	nuc_abs__WIP1delay2_
Wip1product3	nuc_abs__WIP1delay3_
Wip1product4	nuc_abs__WIP1delay4_
Wip1product5	nuc_abs__WIP1delay5_
Wip1product6	nuc_abs__WIP1delay6_
Wip1product7	nuc_abs__WIP1delay7_
Wip1product8	nuc_abs__WIP1delay8_
Wip1product9	nuc_abs__WIP1delay9_
Wip1pro	nuc_abs__WIP1delay10_
BRCA2	nuc_prot__BRCA2_
MSH6	nuc_prot__MSH6_1_
MGMT	nuc_prot__MGMT_
damageDSB	nuc_abs__DNADoubleStrandBreak_
damageSSB	nuc_abs__DNASingleStrandBreak_
ppAKT_MDM2	nuc_cong__p_p_AKT__MDM2_1_
pMDM2	nuc_prot__p_MDM2_1_
ARF	nuc_prot__ARF_1_
MDM4	nuc_prot__MDM4_1_
p53ac_MDM4	nuc_prot_a__P53__MDM4_1_
ATMinac	nuc_prot_i__ATM_
ATRinac	nuc_prot_i__ATR_1_
pRB	nuc_prot__RB_
pRBp	nuc_prot__pT373_RB_
pRBpp	nuc_prot__pT373_pS807_pS811_RB_
E2F	nuc_cong__E2F_
Cd	nuc_cong__CCND_
Mdi	nuc_cong_i__CCND__CDK4_
Md	nuc_cong__CCND__CDK4_
Mdp27	nuc_cong__CCND__CDK4__CDN1B_
Ce	nuc_cong__CCNE_
Mei	nuc_cong_i__CCNE__CDK2_
Me	nuc_cong__CCNE__CDK2_
Skp2	nuc_prot__SKP2_1_
Mep27	nuc_cong__CCNE__CDK2__CDN1B_
Pe	nuc_prot__MPIP1_1_
Pai	nuc_prot_i__MPIP2_1_
Pei	nuc_prot_i__MPIP1_1_
Pbi	nuc_prot_i__MPIP3_1_
Ca	nuc_prot__CCNA2_
Mai	nuc_prot_i__CCNA__CDK2_
Ma	nuc_prot__CCNA__CDK2_
Map27	nuc_prot__CCNA__CDK2__CDN1B_
p27	nuc_prot__CDN1B_
Cdh1i	nuc_prot_i__CADH1_1_
Cdh1a	nuc_prot_a__CADH1_1_
E2Fp	nuc_cong__p_E2F_
p27p	nuc_prot__pT187_CDN1B_
Pa	nuc_prot__MPIP2_1_
Cb	nuc_cong__CCNB_
Mbi	nuc_cong_i__CCNB__CDK1_
Mb	nuc_cong__CCNB__CDK1_
Cdc20i	nuc_prot_i__CDC20_
Cdc20a	nuc_prot_a__CDC20_
Pb	nuc_prot__MPIP3_1_
Wee1	nuc_prot__WEE1_1_
Wee1p	nuc_prot__pS123_WEE1_1_
Mbp27	nuc_cong__CCNB__CDK1__CDN1B_
Chk1	nuc_prot__CHK1_1_
pRBc1	nuc_cong__RB__E2F_
pRBc2	nuc_cong__pT373_RB__E2F_
p21	nuc_prot__CDN1A_
Mdp21	nuc_cong__CCND__CDK4__CDN1A_
Mep21	nuc_cong__CCNE__CDK2__CDN1A_
Map21	nuc_cong__CCNA__CDK2__CDN1A_
Mbp21	nuc_cong__CCNB__CDK1__CDN1A_
L	exc_prot__TNF10_1_
R	cyt_cong__TNFRSF10_
L_R	cyt_cong__TNF10_1__TNFRSF10_
Ractive	cyt_cong_a__TNF10_1__TNFRSF10_
flip	cyt_prot__CFLAR_1_
Ractive_flip	cyt_cong_a__TNF10_1__TNFRSF10__CFLAR_1_
pC8	cyt_cong_i__CASP8_
Ractive_pC8	cyt_cong_a__TNF10_1__TNFRSF10__CASP8_
C8	cyt_cong_a__CASP8_
Bar	cyt_prot__BFAR_1_
C8_Bar	cyt_cong__CASP8__BFAR_1_
pC3	cyt_cong_i__CASP3_
C8_pC3	cyt_cong__CASP8__CASP3_
C3	cyt_cong_a__CASP3_
pC6	cyt_prot_i__CASP6_
C3_pC6	cyt_cong__CASP3__CASP6_
C6	cyt_prot_a__CASP6_
C6_C8	cyt_cong__CASP6__CASP8_
XIAP	cyt_prot__XIAP_1_
C3_XIAP	cyt_prot__CASP3__XIAP_
PARP	cyt_prot__PARP1_1_
C3_PARP	cyt_cong__CASP3__PARP1_
cPARP	cyt_prot__cl_PARP1_
Bid	cyt_prot__BID_1_
C8_Bid	cyt_cong__CASP8__BID_1_
tBid	cyt_prot__cl_BID_1_
Bcl2c	cyt_cong__BCL2_
tBid_Bcl2c	cyt_cong__cl_BID_1__BCL2_
Bax	cyt_prot_i__BAX_1_
tBid_Bax	cyt_prot__cl_BID_1__BAX_1_
Baxactive	cyt_prot_a__BAX_1_
Baxm	mit_prot_a__BAX_1_
Bcl2	mit_cong__BCL2_
Baxm_Bcl2	mit_cong__BAX_1__BCL2_
Bax2	mit_prot_a__BAX_1__BAX_1_
Bax2_Bcl2	mit_cong__BAX_1__BAX_1__BCL2_
Bax4	mit_prot_a__BAX_1__BAX_1__BAX_1__BAX_1_
Bax4_Bcl2	mit_cong__BAX_1__BAX_1__BAX_1__BAX_1__BCL2_
M	mit_abs_i__pore_
Bax4_M	mit_abs__BAX_1__BAX_1__BAX_1__BAX_1__pore_
Mactive	mit_abs_a__pore_
CytoCm	mit_prot__CY1_
Mactive_CytoCm	mit_abs__pore__CY1_
CytoCr	mit_prot_i__CY1_
Smacm	mit_prot__DBLOH_1_
Mactive_Smacm	mit_abs__pore__DBLOH_1_
Smacr	mit_prot_i__DBLOH_1_
CytoC	cyt_prot__CY1_
Apaf	cyt_prot__APAF_1_
CytoC_Apaf	cyt_prot__CY1__APAF_1_
Apafactive	cyt_prot_a__APAF_1_
pC9	cyt_prot__PCSK9_1_
Apop	cyt_prot_a__APAF_1__PCSK9_1_
Apop_C3	cyt_prot_a__APAF_1__PCSK9_1__CASP3_
Smac	cyt_prot__DBLOH_1_
Apop_XIAP	cyt_prot_a__APAF_1__PCSK9_1__XIAP_
Smac_XIAP	cyt_prot__DBLOH_1__XIAP_
C3_Ub	cyt_cong__u_CASP3_
BAD	cyt_prot__BAD_1_
PUMA	cyt_prot__BBC3_1_
NOXA	cyt_prot__APR_1_
Bcl2c_BAD	cyt_cong__BCL2__BAD_
Bcl2c_PUMA	cyt_cong__BCL2__BBC3_1_
Bcl2c_NOXA	cyt_cong__BCL2__APR_1_
BIM	cyt_prot__B2L11_1_
BIM_Bax	cyt_prot__B2L11_1__BAX_1_
Bcl2c_BIM	cyt_cong__BCL2__B2L11_1_
ppERK_BIM	cyt_cong__p_p_MAPK__B2L11_1_
pBIM	cyt_prot__pS69_B2L11_1_
ppAKT_BAD	cyt_cong__p_p_AKT__BAD_
pBAD	cyt_prot__p_BAD_
ppERK_BAD	cyt_cong__p_p_MAPK__BAD_
E	exc_prot__EGF_1_
